user_id,business_id,stars
C_hUvw2z0R-Rv0yZb6QCZA,dm6sO_Y8JdKTE1ZM955yug,5.0
_o740mSNRhMNYuPjSJoPLg,sMzNLdhJZGzYirIWt-fMAg,5.0
D-vYE3HILl7Qk1UhYqZXYQ,6sATfFam9_q9uod0I2aCsg,5.0
jAVtSgE5L-Dt6_I5FIiVGA,EIL41z-hvVCeYHqfA9PyWQ,5.0
jsOz-dWToun2VsFcFAfGww,FBSWwaE6gR7KAOyG1QhakQ,5.0
OnYEKooAtI2zTRqBLLIfvA,FBSWwaE6gR7KAOyG1QhakQ,5.0
To4ATBBNlnC5gzj0dwXfuA,EgwGTDZ705TwudPJwAY0yQ,5.0
MQq_1AlcDWsyNs7Ot8J4OQ,GdCRQU3VCh_x8fY84mbwYQ,5.0
OuRmjIT8yj8w04XsLX1tlg,9mIm1ef-NVDQHFE39Faxxg,5.0
x37OyP--VEFE5p-xreplYA,tjAeaGdxf7I4xN9M7wGJNQ,5.0
U6tZwpRVjUfx-fwDbMAlPA,lVfZ2AaYRYHCFenUMQna8g,5.0
jEG_kO7nqBA97n2beBSkhg,0xyqLvtr0Zbr4G-gML-QmQ,5.0
6WYPtBdVh8Iwt96RBGpmSg,vGDhK2Lc4Np5iZYZ7FG0QA,5.0
9SqPSd2HnDJIM3v4_j9LYA,SVGApDPNdpFlEjwRQThCxA,5.0
SNpi9tKh2EUWdbxAELLMpA,9t8PEynZGVCG1EjOQr1xBA,5.0
_Rwjy0YmGB4W0KUrfSUlOQ,WRQ-9LluyivReFiQZFUujw,5.0
iV3QtUHRJWmrUDUo3QETgQ,5FIOXmUE3qMviX9GafGH-Q,5.0
FBj6OZ5ks9wLmRJOAeGoXA,t61eGISz7qMOxEe7o3vwEw,5.0
iuz4lXjzwaxuFWaLqUl6gA,thLX_k20SPJ0KyusGTBIHw,5.0
gPnezUoB9AcxE_qeBR_Dsw,5WOE18ldtQ1U0MK5fN2HGQ,5.0
eotRnUFGGgQ-qU7nE10HvQ,e01WELWR6ODCder7onrIlA,5.0
iL3YaRr3jgy8RjwWwZ6SJg,7N4_jIwfNZr48OGTjwqF-w,5.0
TdLCm4m3UE3mnPy4uhTRPw,pTJ8f4AfUW6uwKGdawLcfg,5.0
khXwaOAkgSaM1T3O_TCpKA,qG_WEgPa8MBo1dPUOkTMlw,5.0
lZyTK6kxavoFJWcWq7hcEA,SVGApDPNdpFlEjwRQThCxA,5.0
CBYlr6bksWM1WA_pTumeeg,9Q1ZtzTPFWG4fJiFSko5Xg,5.0
8m9q7KT9Bgw6qMjHBMb4YA,_6mvQX9x66oz046eS5ii8w,5.0
rwnGmtQTXweXYwqqiEk0cg,qQCsLGMncJp1xWUGnOKCQA,5.0
E08iscTU73ioVEaU2_ZWCQ,pH0BLkL4cbxKzu471VZnuA,5.0
RTOTBlRSoYUCLtgLDo_wkw,RBAcL6hg2yoaTRv0kKUjPA,5.0
Olo_x4fV1sFBtlj6COf9Wg,cHdJXLlKNWixBXpDwEGb_A,5.0
is5vAvanYvmF-28i9no2LQ,OGyLTDJv53WZM8PEqN_tKA,5.0
JnN7fWESKk3MXR2zfD_XKw,SVGApDPNdpFlEjwRQThCxA,5.0
QYNBB211vRGLl3aHQxcGJg,vxadNrpTY7OHNmWsrEpNnA,5.0
HFFiM63x9asevqVOZG5GBQ,d8lmIZIqmBC9oPM8y1dc7Q,5.0
c_gty-iBAbezPUCSV9qXAQ,bY8K4r_RGOm_1cspCOKdPQ,5.0
Y9Feqi0voIL4mreMFcmNkg,C2T7ecxqsVu99PhSqT3c3g,5.0
h9y55WNNg7SYg3kQwzTMmQ,c35qzLN6ItDpVIoj2uQW4Q,5.0
N6zhXHPIrCXommDEg0Rw3g,N0apJkxIem2E8irTBRKnHw,5.0
WxwBaCUHlIeGuux6acCQBA,wS6LB0lSt0orSxP8cYXzvA,5.0
ySYy230BGNe7Aa7ayAJiJQ,LL7EY-YARSY41n98P9509w,5.0
P3B7FfBpXERa-KdxwIGkHA,wJY74R0zAgjxvBf-d4gm9g,5.0
RM_KDxowJ7uy7avXfOOsTg,ePt0qmZgU-fjqMoM1M2U3Q,5.0
75ejqryeYVPv9XuH-4Jg0g,IU31IE28AnAduEqJ5Gzvkg,5.0
91TB-gzcNyxFh46TL0pmnQ,6nKR80xEGHYf2UxAe_Cu_g,5.0
v3YOx9T4jRSw8XP9Rd9H4g,ZhLSAiRj9kANxf8m2SBfRA,5.0
xS6kmkMXp0PRrFwkSWq2-w,ItmLljzhwhuyyvekNs4Ymg,5.0
5BfyObsvVjB6zcj8Wy5RDQ,hcFSc0OHgZJybnjQBrL_8Q,5.0
aTE5NuGeRCTWnwLn8_-sgw,SHFlELFcEcAOJv_fTAKChQ,5.0
BxCgM2bsV0AUvOpT42_klA,cDoo0Pf1d_P79Rq3ZNk-Mw,5.0
y4BY4Lz6LeGIcY3L5qHYQg,CGUK3cd2gxp2q3KPY19Oog,5.0
QSs-xIOqz2KDeu0MhKcumQ,jb7pFtM4J5Hu9tCaoGxnRQ,5.0
ahh93S9jJIBiy5M1PVC1VQ,S5bNE4Pmin8OQUMOFod8bQ,5.0
DIdq2t1_ra6g5JcexYHuOQ,z2CVPfaG8C_rydUZCcsqbw,5.0
HTTn15w4c5Yfp4YzrZqd3g,sOYsxYYFl03PhHmz_rBDZQ,5.0
sqS0rrONlmiI_iEz3JmyhQ,QH1lePb3lwTKRF_OXH_6uw,5.0
KL-JE4VkGW02LzeSlW3e6Q,oj8qk3W7O9oq15VIs-vYJQ,5.0
6Dhn_V036LU3uaRXMxTg1A,q7aNYIUEkmisLTE3qBPRog,5.0
7Inj11uN96hJUXAxrG2Saw,I4Nr-MVc26qWr08-S3Q1ow,5.0
yJT2CndTPZ00BvIOwlmbrQ,cs1qJvnWUg_f8g020z_3PQ,5.0
QgRx5RzxLofNAwW_Cw15Yw,1c_jEfvQBPXZ5YUaAMYJrQ,5.0
1gqNu5J8eWjLjaLsrA4Elg,khwoDxH5p-D9pLjCvV_Y6A,5.0
8wwniV2D1vZ6TNefB-KJSA,Dd9l9bDHbACessxl-Ks4UA,5.0
d6qorI6Ez37znpgGLPOEOg,wH4Q0y8C-lkq21yf4WWedw,5.0
Qvzq9Ufc8gcraiesYjt0eg,ejKXczjEkm1gzyRdblQm8w,5.0
252bHExZ7kypS4YZy5QSSw,yeTKcKUlTq-W7EJ5hPkqbw,5.0
Y_QBiZpATJoz8hKUfYF66A,fbQaKW0Lte0JQ_opbnjdKg,5.0
ELfzWgdf64VBLi5z1ECItw,-iFvYhgysvjkxckCr42NRw,5.0
oKhpMYvIntENZ5UzuoZWUg,78hGCrQ6wLA2yh8zMywnmw,5.0
s_PI8eOGJdoYCIGCSmBN8Q,JrrY4v21k7_qYxIidhi-aw,5.0
Ff2ltip33PhPSj8iQuOswQ,N0apJkxIem2E8irTBRKnHw,5.0
6h2Ab7yxDGLQI-AluHWasQ,UGyEr_PMA-v1cuim0gMPlQ,5.0
PTDhXN8nxW1DmDFFsDqSIg,pI4w-MXCGbgDJh9Q97C-jg,5.0
2zOXdbLjhFkcXSqpyhYBnQ,RU2VtVZG8to-XVEHD-2qag,5.0
wAYR3oO-JM8yVVTMw23QgQ,O7UMzd3i-Zk8dMeyY9ZwoA,5.0
mEzc6LeTNiQgIVsq3poMbg,j7HO1YeMQGYo3KibMXZ5vg,5.0
CAHz7KqSfjh9PmIRLTEBEA,1Df5WnLX3DqN6ymlhqznaQ,5.0
lZxuXBW_srpI-s_Lngzi1A,DCab_cz7nDDW-IPsnKGb_A,5.0
ppATz6PAs8pGi4VcfIrUSw,LMa0x4S5-5XYZegwB7jPug,5.0
8WDGMSf1nmtUI0RP1faSUw,qQCsLGMncJp1xWUGnOKCQA,5.0
G7UL-42So8dS1hPwrHG1Bg,CuT2Xh3vAYvRfxUWlUo6oA,5.0
NjNJ1JLnMlOfnDI6Oz6Qew,C6uYx1g7TxmuzjfNtxK86w,5.0
3D2KdvX-Ppe2cy6zz1WiRA,thlAnPN1ApoNxSnok_fcvA,5.0
DDIMiC69en1Gl3t7EM8MQQ,OyTSs71uXNDeC14zsPA5jw,5.0
NWuFF7-HjYE9dvt_xGbEhw,VoTi4yVhTVyFdmxUpoyUsg,5.0
_D867iYFTy3H59VGKA19zw,-bd4BQcl1ekgo7avaFngIw,5.0
soj3EaoFAhGqWgzGlfTTtg,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
UqgmkQuYXFrJ--vOgN_IRA,5ma1OUQWy_Ds80xUiP7JPQ,5.0
DeVGAiOf2mHVUDfxvuhVlQ,ujHiaprwCQ5ewziu0Vi9rw,5.0
Fe3_cTa53qB9baYl0zGx0w,P-na-PyTJTL-uZ15vEg6zA,5.0
N1OHFWHQ9YI3u4UHMW12iQ,Sxx0E2KvnNCSqlIhbD0l_g,5.0
r98FaAOAoJDCPp384XpcYA,Mv7N0bU56dhtoDP-m2JOow,5.0
IrrulcUUCHg3deMsrdF_xg,SVGApDPNdpFlEjwRQThCxA,5.0
Ij7OcAO5FpoNKxS1RzNoWw,83cVpTJNyzv9lJ20vzBgdg,5.0
2RosvaxvSKX0YY1VVmg-fg,S5bNE4Pmin8OQUMOFod8bQ,5.0
3OxW-xQZCOMs1Se9Jes2VA,IOQ7hWDbdzZgOSr2sDELoQ,5.0
hTZb1INhnCG8URaFywVoYQ,oOo2jJhnPC1oAy7SRxBEqg,5.0
dEp7BNFhnjaMYWcJ_KqsyQ,JlEy8FH6123SJBoNwG235g,5.0
1_BZsSQDc1mpyieRaHnVQQ,GMrwDXRlAZU2zj5nH6l4vQ,5.0
5AlOIOMTzNhU1tSOtQ6mDw,N6MzDoao6s68nAIW8vS9dQ,5.0
